"CVE","Title","Severity","KBArticles","AffectedProductCount"
"CVE-2026-23212","bonding: annotate data-races around slave->last_rx","5.5","","0"
"CVE-2026-23215","x86/vmware: Fix hypercall clobbers","8.4","","0"
"CVE-2026-23217","riscv: trace: fix snapshot deadlock with sbi ecall","5.5","","0"
"CVE-2026-23214","btrfs: reject new transactions if the fs is fully read-only","8.4","","0"
"CVE-2025-71226","wifi: iwlwifi: Implement settime64 as stub for MVM/MLD PTP","7.1","","0"
"CVE-2026-23229","crypto: virtio - Add spinlock protection with virtqueue notification","7.0","","0"
"CVE-2026-23230","smb: client: split cached_fid bitfields to avoid shared-byte RMW races","8.4","","0"
"CVE-2025-71230","hfs: ensure sb->s_fs_info is always cleaned up","4.2","","0"
"CVE-2026-23221","bus: fsl-mc: fix use-after-free in driver_override_show()","7.0","","0"
"CVE-2025-71231","crypto: iaa - Fix out-of-bounds index in find_empty_iaa_compression_mode","8.4","","0"
"CVE-2026-23226","ksmbd: add chann_lock to protect ksmbd_chann_list xarray","7.5","","0"
"CVE-2026-23220","ksmbd: fix infinite loop caused by next_smb2_rcv_hdr_off reset in error paths","6.5","","0"
"CVE-2025-71232","scsi: qla2xxx: Free sp in error path to fix system crash","4.7","","0"
"CVE-2026-23224","erofs: fix UAF issue for file-backed mounts w/ directio option","5.5","","0"
"CVE-2025-69299","WordPress Oxygen theme <= 6.0.8 - Server Side Request Forgery (SSRF) vulnerability","8.3","","0"
"CVE-2026-2243","Qemu-kvm: heap buffer out-of-bounds read in vmdk compressed grain parsing","5.1","","0"
"CVE-2026-24834","Kata Container to Guest micro VM privilege escalation","9.3","","0"
"CVE-2026-27199","Werkzeug safe_join() allows Windows special device names",,"","0"
"CVE-2026-2739","This affects versions of the package bn.js before 5.2.3. Calling maskn(0) on any BN instance corrupts the internal state, causing toString(), divmod(), and other methods to enter an infinite loop, hanging the process indefinitely.",,"","0"
"CVE-2025-67733","Valkey Affected by RESP Protocol Injection via Lua error_reply","8.5","","0"
"CVE-2026-21863","Malformed Valkey Cluster bus message can lead to Remote DoS","7.5","","0"
"CVE-2025-62878","Local Path Provisioner vulnerable to Path Traversal via parameters.pathPattern","9.9","","0"
"CVE-2026-27571","nats-server websockets are vulnerable to pre-auth memory DoS","5.9","","0"
"CVE-2026-28364","In OCaml before 4.14.3 and 5.x before 5.4.1, a buffer over-read in Marshal deserialization (runtime/intern.c) enables remote code execution through a multi-phase attack chain. The vulnerability stems from missing bounds validation in the readblock() function, which performs unbounded memcpy() operations using attacker-controlled lengths from crafted Marshal data.","7.9","","0"
"CVE-2026-28417","Vim has OS Command Injection in netrw","4.4","","0"
"CVE-2026-28421","Vim has a heap-buffer-overflow and a segmentation fault","5.3","","0"
"CVE-2026-28418","Vim has Heap-based Buffer Overflow in Emacs tags parsing","4.4","","0"
"CVE-2026-28419","Vim has Heap-based Buffer Underflow in Emacs tags parsing","5.3","","0"
"CVE-2026-28422","Vim has stack-buffer-overflow in build_stl_str_hl()","2.2","","0"
"CVE-2026-27141","Sending certain HTTP/2 frames can cause a server to panic in golang.org/x/net","7.5","","0"
"CVE-2025-71228","LoongArch: Set correct protection_map[] for VM_NONE/VM_SHARED","8.4","","0"
"CVE-2026-23213","drm/amd/pm: Disable MMIO access during SMU Mode 1 reset","8.4","","0"
"CVE-2026-23216","scsi: target: iscsi: Fix use-after-free in iscsit_dec_conn_usage_count()","8.4","","0"
"CVE-2025-71225","md: suspend array while updating raid_disks via sysfs","8.4","","0"
"CVE-2025-71227","wifi: mac80211: don't WARN for connections on invalid channels","5.5","","0"
"CVE-2026-27171","zlib before 1.3.2 allows CPU consumption via crc32_combine64 and crc32_combine_gen64 because x2nmodp can do right shifts within a loop that has no termination condition.","2.9","","0"
"CVE-2026-2443","Libsoup: out-of-bounds read in libsoup handle_partial_get() leading to heap information disclosure","5.3","","0"
"CVE-2026-1979","mruby JMPNOT-to-JMPIF Optimization vm.c mrb_vm_exec use after free","5.3","","0"
"CVE-2026-1703","Limited path traversal when installing wheel archives",,"","0"
"CVE-2026-23222","crypto: omap - Allocate OMAP_CRYPTO_FORCE_COPY scatterlists correctly","4.4","","0"
"CVE-2026-23228","smb: server: fix leak of active_num_conn in ksmbd_tcp_new_connection()","6.5","","0"
"CVE-2026-23223","xfs: fix UAF in xchk_btree_check_block_owner","6.7","","0"
"CVE-2025-71235","scsi: qla2xxx: Delay module unload while fabric scan in progress","5.5","","0"
"CVE-2025-71234","wifi: rtl8xxxu: fix slab-out-of-bounds in rtl8xxxu_sta_add","7.8","","0"
"CVE-2025-71229","wifi: rtw88: Fix alignment fault in rtw_core_enable_beacon()","8.4","","0"
"CVE-2025-71233","PCI: endpoint: Avoid creating sub-groups asynchronously","8.4","","0"
