"CVE","Title","Severity","KBArticles","AffectedProductCount"
"CVE-2026-20962","Dynamic Root of Trust for Measurement (DRTM) Information Disclosure Vulnerability","4.4","","0"
"CVE-2026-21265","Secure Boot Certificate Expiration Security Feature Bypass Vulnerability","6.4","","0"
"CVE-2026-0386","Windows Deployment Services Remote Code Execution Vulnerability","7.5","","0"
"CVE-2026-20803","Microsoft SQL Server Elevation of Privilege Vulnerability","7.2","","0"
"CVE-2026-20965","Windows Admin Center Elevation of Privilege Vulnerability","7.5","","0"
"CVE-2026-20804","Windows Hello Tampering Vulnerability","7.7","","0"
"CVE-2026-20805","Desktop Window Manager Information Disclosure Vulnerability","5.5","","0"
"CVE-2026-20808","Windows File Explorer Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2026-20809","Windows Kernel Memory Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20810","Windows Ancillary Function Driver for WinSock Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20811","Win32k Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20812","LDAP Tampering Vulnerability","6.5","","0"
"CVE-2026-20814","DirectX Graphics Kernel Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2026-20815","Capability Access Management Service (camsvc) Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2026-20816","Windows Installer Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20817","Windows Error Reporting Service Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20818","Windows Kernel Information Disclosure Vulnerability","6.2","","0"
"CVE-2026-20819","Windows Virtualization-Based Security (VBS) Information Disclosure Vulnerability","5.5","","0"
"CVE-2026-20820","Windows Common Log File System Driver Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20821","Remote Procedure Call Information Disclosure Vulnerability","6.2","","0"
"CVE-2026-20822","Windows Graphics Component Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20823","Windows File Explorer Information Disclosure Vulnerability","5.5","","0"
"CVE-2026-20824","Windows Remote Assistance Security Feature Bypass Vulnerability","5.5","","0"
"CVE-2026-20825","Windows Hyper-V Information Disclosure Vulnerability","4.4","","0"
"CVE-2026-20826","Tablet Windows User Interface (TWINUI) Subsystem Information Disclosure Vulnerability","7.8","","0"
"CVE-2026-20827","Tablet Windows User Interface (TWINUI) Subsystem Information Disclosure Vulnerability","5.5","","0"
